geeky,StarWars_fandom,StarWars_knowledge,StarTrek_fandom,StarTrek_knowledge,StarWars_obscure,StarTrek_obscure,familiar,desert_island,age,gender,continent,sector,MDS,sw_score,st_score
2,1,2,1,1,FALSE,FALSE,neither,neither,25,Female,Europe,Math/Statistics,FALSE,0.2222222222222222,0.14814814814814814
3,2,2,2,1,FALSE,FALSE,neither,neither,25,Female,Europe,Math/Statistics,FALSE,0.2962962962962963,0.2222222222222222
2,4,3,3,1,FALSE,FALSE,Star Wars,Star Trek,25,Male,Europe,Math/Statistics,FALSE,0.7037037037037037,0.2962962962962963
5,4,4,2,2,FALSE,FALSE,Star Wars,Star Wars,25,Male,Europe,Math/Statistics,FALSE,0.7777777777777778,0.2962962962962963
3,4,3,2,1,FALSE,FALSE,Star Wars,Star Trek,25,Female,Europe,Math/Statistics,FALSE,0.7037037037037037,0.2222222222222222
3,2,2,2,1,FALSE,FALSE,Star Wars,Star Wars,25,Female,Europe,Math/Statistics,FALSE,0.48148148148148145,0.2222222222222222
5,3,3,2,1,FALSE,FALSE,Star Wars,Star Wars,18,Male,Europe,Math/Statistics,FALSE,0.6296296296296297,0.2222222222222222
4,5,4,3,2,FALSE,FALSE,Star Wars,Star Wars,25,Male,Europe,Math/Statistics,FALSE,0.8518518518518519,0.37037037037037035
3,3,2,2,2,FALSE,FALSE,Star Wars,Star Wars,25,Female,Europe,Math/Statistics,FALSE,0.5555555555555556,0.2962962962962963
4,2,4,1,2,FALSE,FALSE,Star Wars,Star Wars,25,Male,Europe,Math/Statistics,FALSE,0.6296296296296297,0.2222222222222222
5,4,4,5,3,FALSE,FALSE,Star Trek,Star Trek,25,Male,Europe,Math/Statistics,FALSE,0.5925925925925926,0.7777777777777778
3,5,4,2,1,FALSE,FALSE,Star Wars,Star Wars,25,Male,Europe,Math/Statistics,FALSE,0.8518518518518519,0.2222222222222222
4,2,2,3,1,FALSE,FALSE,Star Trek,Star Wars,25,Male,Europe,Math/Statistics,FALSE,0.2962962962962963,0.48148148148148145
3,2,2,1,1,FALSE,FALSE,Star Wars,Star Wars,25,Female,Europe,Math/Statistics,FALSE,0.48148148148148145,0.14814814814814814
2,3,3,2,2,FALSE,FALSE,Star Wars,Star Trek,25,Male,Europe,Math/Statistics,FALSE,0.6296296296296297,0.2962962962962963
4,3,3,2,2,FALSE,FALSE,Star Wars,Star Trek,25,Female,Europe,Math/Statistics,FALSE,0.6296296296296297,0.2962962962962963
4,3,3,2,2,FALSE,FALSE,Star Wars,Star Wars,25,Male,Europe,Math/Statistics,FALSE,0.6296296296296297,0.2962962962962963
1,3,2,1,1,FALSE,FALSE,Star Wars,Star Wars,25,Female,Europe,Math/Statistics,FALSE,0.5555555555555556,0.14814814814814814
4,4,5,2,2,FALSE,FALSE,Star Wars,Star Wars,35,Male,Europe,Tech,FALSE,0.8518518518518519,0.2962962962962963
4,3,3,3,2,FALSE,FALSE,Star Wars,Star Trek,25,Male,Europe,Math/Statistics,FALSE,0.6296296296296297,0.37037037037037035
